name;uploads;subs;views;channel_type;country;earnings_min;earnings_max
HaerteTest;1123;19900000;2955119854;Tech;DE;6600;106400
Kurzgesagt – In a Nutshell;159;18700000;2007218733;Education;DE;5800;92400
Crazy Frog;33;12600000;6744768343;Music;DE;23300;372700
Pamela Reif;166;8870000;1466806807;Sports;DE;6800;108100
freekickerz;1452;8680000;2389820846;Sports;DE;1900;30200
Ameer Bros;231;7970000;1467056081;Entertainment;DE;3700;59200
Dhruv Rathee;465;7750000;942896690;Education;DE;11700;187000
SurpriseJoe - Nursery Rhymes & Kids Songs;151;7320000;645945852;Education;DE;1600;26000
The Voice Kids;1298;7240000;2175787292;Entertainment;DE;5500;87500
Julien Bam;236;5880000;1553361086;Entertainment;DE;4700;74900
Craftronix;326;4250000;1317280948;Film;DE;290;4600
Simon Desue;705;4230000;833194417;Entertainment;DE;50;805
DW Documentary;825;4160000;654692553;Education;DE;1100;17500
ArkivaShqip;8621;4139999;6612215561;Entertainment;DE;11600;185900
ProsafiaGaming;1985;4080000;3935817558;Games;DE;11200;179400
DW Documental;414;4050000;844199338;Education;DE;3500;56300
Julienco;600;4000000;1468020843;Entertainment;DE;746;11900
DW News;27672;4000000;1395896585;News;DE;11900;190600
Dagi Bee;638;3970000;1057310894;Howto;DE;333;5300
Calisthenicmovement;288;3890000;438016231;Sports;DE;1300;20300
Free Documentary;670;3720000;849928018;Entertainment;DE;5400;86700
Scorpions;281;3710000;2406044167;Music;DE;9600;153100
GermanLetsPlay;6870;3670000;2481120491;Games;DE;2500;40500
Freshtorge;821;3650000;1517618089;Comedy;DE;2500;39800
Ikram Bellanova;376;3650000;471012100;Howto;DE;58;924
ApeCrime;700;3630000;1144233551;Entertainment;DE;251;4000
Robin Schulz;308;3540000;3471712828;People;DE;8200;130600
EUROPA Kinderprogramm;290;3540000;1389616237;Entertainment;DE;99;1600
Español Para Niños;4;3530000;941453964;Games;DE;12;189
monsterchannel24;1575;3490000;1660408587;Autos;DE;1900;30300
Family Bros;31;3360000;720564417;Entertainment;DE;1700;26900
Essen Rezepte;346;3280000;578480437;People;DE;5700;91900
LEO ROJAS - official;92;3250000;983636837;Music;DE;2700;43200
DW हिन्दी;2860;3250000;612016112;Education;DE;8700;139300
Felix von der Laden;3903;3220000;1430801453;Travel;DE;900;14400
Standart Skill;2651;3180000;1737501669;Games;DE;3600;57700
Galileo;5038;3170000;2871336816;Entertainment;DE;1600;25000
Merry Margo Live;462;3170000;1254799766;Entertainment;DE;3600;57100
AirwaveMusicTV;3389;3150000;1125309464;Music;DE;3400;54100
Selected.;1279;3120000;2011600222;Music;DE;4700;75100
ClayClaim;369;3110000;434339879;Entertainment;DE;496;7900
YTITTY;354;3090000;788177860;Entertainment;DE;101;1600
Mascha und der Bär;748;3080000;1256977079;Film;DE;2800;45400
Keluarga Bahagia Di Jerman;573;3070000;500832466;People;DE;2600;41900
BBlocks;115;3040000;754645590;Games;DE;6700;107200
LeFloid;1123;3020000;736919066;News;DE;68;1100
Younes Zarou;1668;3040000;3632884677;Entertainment;DE;112000;1800000
BangerChannel;800;2970000;1981024207;Music;DE;2100;33100
BUSHIDO;235;2950000;1534580292;Music;DE;1200;19000
DW Español;31611;2960000;1333252896;News;DE;11300;181500
MontanaBlack;371;2900000;321514059;People;DE;114;1800
JoergSprave;985;2890000;501192103;Tech;DE;520;8300
Nuclear Blast Records;6235;2870000;2691776071;Music;DE;5500;88300
Shirin David;75;2860000;481561820;Entertainment;DE;685;11000
iCrimax;2562;2830000;1346959505;Games;DE;7100;112900
Elif Karaman;224;2790000;566051608;Entertainment;DE;1200;18900
JONAS;1052;2770000;838888499;Entertainment;DE;425;6800
unsympathischTV;566;2750000;632904121;Entertainment;DE;138;2200
inscope21;1227;2740000;569624259;Entertainment;DE;74;1200
SpontanaBlack;1039;2680000;794546845;Games;DE;2100;33400
FC Bayern München;4977;2590000;707262472;Sports;DE;4400;71000
KinoCheck;5201;2580000;2638292384;Entertainment;DE;4300;68200
xKito Music;1753;2580000;2157865763;Music;DE;3000;47700
URBAN DANCE CAMP;223;2560000;507648314;Entertainment;DE;286;4600
CrhymeTV;130;2550000;2035738127;Music;DE;0;0
Mady Morrison;178;2520000;379772885;Sports;DE;2300;36800
iBlali;455;2510000;664532665;Comedy;DE;0;0
marsgizmo;376;2510000;3295889607;Entertainment;DE;15100;241400
urbanamadei;504;2490000;789760466;Sports;DE;2000;31800
PietSmiet;25459;2460000;3135139833;Entertainment;DE;4700;75900
HandOfBlood;2072;2440000;901005316;Games;DE;2100;33800
Dave Ardito;186;2470000;1107665974;Entertainment;DE;36800;588900
Arazhul;3049;2430000;2692752478;Games;DE;7900;125700
Leon Machère;295;2420000;654589459;Entertainment;DE;303;4900
Bazylland - Tractors & Excavators;707;6160000;2847403975;Games;PL;6500;104500
Blowek;1487;4770000;1005232749;Entertainment;PL;570;9100
Karol Friz Wiśniewski;571;4590000;2051545292;Entertainment;PL;4400;70400
reZigiusz;1247;4390000;1046059615;Entertainment;PL;1700;26600
Stuu;1352;4260000;1075208681;Entertainment;PL;256;4100
Step Records;2648;3700000;4026533625;Music;PL;7200;115900
SA Wardega;46;3620000;786593075;Entertainment;PL;182;2900
AbstrachujeTV;686;3380000;1549182708;Entertainment;PL;2400;38400
Naruciak;901;3330000;828622576;Entertainment;PL;1800;28700
SBM Label;1449;3200000;3943677145;Music;PL;17300;276100
Car Music;439;3140000;1229250727;Music;PL;2300;37100
BROS SHOW;550;2630000;912071465;People;PL;3500;55400
DISCO MAREK;7;2580000;51535498;Music;PL;33;529
TheNitroZyniak;591;2370000;275408018;Entertainment;PL;8500;135400
Kaluch;1756;2340000;1075193656;Games;PL;1900;30400
QueQuality;1118;2330000;2695220266;Music;PL;9200;147600
SPInkafilmstudio;593;2320000;1599430234;Film;PL;2400;38200
tvnpl;10062;2320000;2832582638;Entertainment;PL;3100;50300
Софунья Шалунья;491;2300000;1083806893;People;PL;7600;121400
Karolek;2577;2270000;739906226;Games;PL;1000;16300
WERSOW;428;2250000;551577250;Entertainment;PL;1500;23900
5 Sposobów na...;565;2230000;560907548;Tech;PL;251;4000
izak LIVE;1756;2160000;802285097;Games;PL;237;3800
Boomerang Polska;1168;2150000;1118161566;Entertainment;PL;3200;51700
Baby's Adventure;382;2130000;1022696279;Animals;PL;91;1500
JuzzyGamePlay;23;2089999;669768332;Games;PL;76;1200
5-minutowe Sztuczki;3444;2089999;535919087;Howto;PL;335;5400
Wojan;230;2060000;306202311;Entertainment;PL;995;15900
tomasz gimper działowy;2670;2049999;672783698;Entertainment;PL;1400;21600
ProstoTV;1857;2049999;2054880602;Music;PL;1600;26400
YOUNG MULTI & YFL;105;2020000;252407980;Music;PL;556;8900
KaliGanjaMafia;390;2000000;1519115468;Music;PL;3100;49900
Tromba;367;1970000;371071032;People;PL;900;14400
GPlay: Minecraft Jest Nasz!;1634;1920000;1211355775;Games;PL;2000;32500
JASNA STRONA;3868;1920000;766045177;Howto;PL;3000;48700
DeeJayPallaside;1459;1890000;241556199;Entertainment;PL;370;5900
MagicRecordsPoland;808;1890000;1273681331;Music;PL;1500;24200
Dizowskyy;1921;1880000;700371349;Games;PL;1500;24000
Mandzio;1;1820000;687127796;Games;PL;246;3900
BORCREW OFFICIAL;585;1820000;2055843850;Music;PL;2700;42500
BRACIA MALCZYŃSCY;495;1810000;501249313;Entertainment;PL;146;2300
JDabrowsky;624;1750000;258139192;People;PL;36;572
BEKSY;313;1750000;590715365;Entertainment;PL;193;3100
MNXHD;175;1730000;433410244;Sports;PL;1300;21300
FIT LOVERS;545;1670000;296416927;Entertainment;PL;327;5200
ROJSON;4933;1660000;442757467;Games;PL;218;3500
Niekryty Krytyk;425;1660000;420898528;Entertainment;PL;292;4700
RoxMb;1495;1600000;534221621;Games;PL;158;2500
Unbox;73;1600000;25624965;People;PL;11;180
smiechawaTV;454;1590000;772878084;Entertainment;PL;640;10200
Agnieszka Grzelak Vlog;546;1590000;422924609;Entertainment;PL;366;5900
binkie.tv;11;1580000;308727139;Entertainment;PL;0;0
BOXDEL;91;1560000;25913216;Entertainment;PL;162;2600
Taco Hemingway;112;1540000;977813715;Music;PL;1600;25300
Disco Polo Lajf;1072;1530000;2185088823;Music;PL;5400;85700
DominikGameStreamer;64;1530000;507468663;Games;PL;18;292
MINI MAJK;242;1530000;249737451;Entertainment;PL;182;2900
UrbanRecTv;1162;1520000;914736857;Music;PL;512;8200
Z Dvpy;742;1510000;392965202;Comedy;PL;568;9100
Historia bez cenzury;296;1510000;374529801;Education;PL;1600;26400
Zajcu37;167;1510000;294035101;Film;PL;157;2500
ZeboPL;824;1480000;277141839;Entertainment;PL;2200;35600
Red Lipstick Monster;924;1480000;368964579;Howto;PL;220;3500
Boruciak;413;1480000;268505417;Entertainment;PL;74;1200
Remigiusz Maciaszek;6680;1470000;534664097;People;PL;147;2400
Peppa Pig Polski - Kanał Oficjalny;700;1470000;931282495;Film;PL;2100;34000
Domi show;400;1470000;364952392;Comedy;PL;2000;31700
wip bros;233;1460000;486816299;Comedy;PL;594;9500
Cyberpunk 2077;87;1450000;335335960;Games;PL;480;7700
Palion;817;1440000;399776534;Entertainment;PL;3100;49100
AdBuster;285;1340000;253951411;Entertainment;PL;64;1000
NOLIF;1024;1330000;335906921;Games;PL;644;10300
Dilerek Minecraft;1482;1330000;390085035;Games;PL;127;2000
Cyber Marian;519;1330000;532538940;Entertainment;PL;948;15200
Mateusz M;23;1320000;313249361;Film;PL;298;4800
Agnieszka Grzelak Beauty;487;1310000;291704727;Howto;PL;611;9800
Hejka tu Lenka;832;1300000;980565594;People;PL;2400;37800
Dawid Frank;281;1300000;248661012;Entertainment;PL;104;1700
tvgry;3356;1290000;1052036827;Games;PL;1400;22500
Dominik Łupicki;29;1290000;26557896;Music;PL;110;1800
True Beauty;836;1280000;388980688;Howto;PL;3400;53700
TOP10Wszystkiego;323;1270000;519063939;Education;PL;1300;20300
Martin Stankiewicz;168;1270000;277599367;Film;PL;35;556
Poczciwy Krzychu;200;1270000;152186145;Entertainment;PL;551;8800
Be Inspired;286;8279999;415050091;Education;RO;3000;48500
Cat Music;2430;7240000;7802068003;Music;RO;10200;162500
Bogdan's Show;1073;5490000;2016541330;People;RO;3800;61200
TraLaLa - Cantece si desene animate pentru copii;1197;5360000;6376176799;Music;RO;12300;197600
RotonMusicTV;1579;5030000;4521966477;Music;RO;0;0
Anabella Show;632;4940000;1413599065;People;RO;2700;43400
IULITMx;9496;4900000;3433179893;Games;RO;6200;98800
فِكر تاني;449;4890000;385228730;Education;RO;2700;42400
Cantece Gradinita .ro;205;4220000;3363474608;Film;RO;3700;58900
STR Noticias;684;4080000;1107642863;Entertainment;RO;348;5600
Kidscoco Club;615;3970000;1228583317;Entertainment;RO;5200;83700
Nek Music Tv;1317;3900000;4429762366;Music;RO;8700;138600
MediaPro Music;1501;3360000;2751581055;Music;RO;2800;44400
Dani Mocanu © Oficial;191;3270000;1760780449;Music;RO;5900;93900
Selly;624;3130000;848986530;Entertainment;RO;2200;36000
MaxINFINITE;6921;3040000;2479914941;Games;RO;6300;100500
Video Advice;246;2920000;254707059;Education;RO;1200;18600
Andrei Terbea;137;2850000;300784805;Comedy;RO;220;3500
Izabeloi;316;2780000;991219378;Howto;RO;598;9600
Thrace Music;190;2730000;1023015475;Music;RO;4600;73100
Crunchy Fluffy;834;2630000;870716549;Entertainment;RO;52;838
iUmor;3484;2470000;1852323274;Comedy;RO;3000;47300
AmmA Music & Sound;1118;2430000;2330380144;Music;RO;4800;76800
iRaphahell;6361;2410000;1264882521;Games;RO;2000;31400
STR Red;331;2390000;506400197;Entertainment;RO;615;9800
XBRAKER VS ARCADE;10146;2310000;1157986704;Games;RO;724;11600
Big Man Romania;1256;2260000;1746187474;Music;RO;4600;73500
Dorian Popa;1105;2120000;551234644;Entertainment;RO;1400;22900
Throneful;58582;2089999;1443587412;Games;RO;2200;34800
Andra;466;1840000;1813336362;Music;RO;1900;30300
Vlad Munteanu;381;1830000;290752385;Entertainment;RO;635;10200
Bianca Adam;612;1780000;291290842;Entertainment;RO;165;2600
Bogdan IBMFamily;711;1690000;397391707;Entertainment;RO;46;730
JamilaCuisine;909;1640000;486384928;Howto;RO;974;15600
Jasmina Show;1181;1630000;765643770;Entertainment;RO;1400;22300
B.U.G. Mafia;315;1620000;1274646667;Music;RO;3300;53400
Next Star;2209;1620000;1185982165;Music;RO;331;5300
Doi Degeaba;243;1620000;443747592;Comedy;RO;804;12900
Melly Karamely;614;1610000;725513398;Entertainment;RO;392;6300
Данька ТВ;142;1530000;309204304;Entertainment;RO;268;4300
Antena 1;36710;1520000;1291729358;Entertainment;RO;1400;22600
La povesti cu Jimmy;162;1500000;376163595;Film;RO;3200;50700
KIDS TOYS CHANNEL;555;1480000;925088579;Film;RO;47;748
SergiuHellDragoonHQ;15233;1470000;1049415758;Games;RO;2700;43900
Mihai-Alexandru Hash;413;1450000;67003121;Entertainment;RO;99;1600
IHATEPINK;4081;1450000;514201222;Games;RO;865;13800
Boomerang România;847;1460000;735066290;Entertainment;RO;1600;26300
xSlayder;4013;1440000;487327835;Games;RO;805;12900
BettyL Club;1426;1440000;1511759116;Entertainment;RO;22500;359500
MrEdxwx;3389;1420000;974913585;Games;RO;515;8200
Codrin Bradea : Satana;759;1400000;433789091;Entertainment;RO;485;7800
SNIK;1386;1400000;263011856;Entertainment;RO;1200;18600
Jador;281;1390000;419081164;Entertainment;RO;2400;39100
Florentin Hriscu;1096;1380000;324005212;People;RO;118;1900
